occ_4_digit,occ_4_digit_description,occ_2_digit_47,assist,contact,customer,disease,face2face,outcover,outexposed,proximity,public,vehicleclosed,vehicleopen,wearcommon,wearspecial,n_workers_weighted_round
6411,Sales and account representatives - wholesale trade (non-technical),64.00000000,2.22499990,4.78999996,4.59500027,1.11500001,4.60500002,1.70000005,2.45499992,3.13000011,3.70499992,4.11499977,1.07500005,1.70000005,1.10500002,17210
6421,Retail salespersons,64.00000000,2.97000003,4.87333345,4.48999977,1.38999999,4.71666670,1.69000006,2.24333334,3.71000004,4.63000011,2.20333338,1.08333337,1.90999997,1.00000000,108980
6511,Maîtres d'hôtel and hosts/hostesses,65.00000000,2.89000010,4.78000021,3.92000008,1.64999998,4.46999979,1.85000002,1.75000000,4.17000008,4.09999990,1.23000002,1.21000004,2.30999994,1.13000000,5855
6512,Bartenders,65.00000000,3.44000006,4.70499992,4.08500004,1.36500001,4.36499977,1.49499989,1.54500008,4.21000004,4.01999998,1.08500004,1.03999996,1.73499990,1.00000000,5990
6513,Food and beverage servers,65.00000000,3.57500005,4.79500008,3.89000010,2.08999991,4.28999996,1.45000005,1.38999999,4.00000000,3.70500016,1.12000000,1.11000001,3.07999992,1.10999990,42950
6521,Travel counsellors,65.00000000,3.04500008,4.71999979,4.52499962,1.25000000,4.32499981,1.05999994,2.00000000,3.71499991,4.39499998,1.64000010,1.35500002,1.88000000,1.07999992,4795
6522,Pursers and flight attendants,65.00000000,4.01999998,4.92999983,4.41499996,3.11500001,4.51499987,1.08500004,1.42000008,4.64499998,4.23999977,2.45499992,1.12000000,1.98000002,1.29500008,2880
6523,Airline ticket and service agents,65.00000000,2.93333340,4.85333300,3.96333337,1.24666667,4.61000013,1.31333327,2.10333347,3.63666654,3.11999989,1.68333340,1.61666667,2.76333332,1.13333333,2405
6524,"Ground and water transport ticket agents, cargo service representatives and related clerks",65.00000000,2.36999989,4.84999990,4.30000019,1.13999999,4.51000023,1.40999997,1.67999995,3.57999992,2.85999990,1.34000003,1.41999996,1.47000003,1.03999996,625
6525,Hotel front desk clerks,65.00000000,3.67666674,4.73000002,4.63333321,1.24666667,4.51999998,2.14666677,2.78666687,3.75999999,4.51333332,2.98000002,1.23666668,1.36333334,1.10000002,4680
6531,Tour and travel guides,65.00000000,2.77500010,4.49499989,4.64499998,1.44000006,4.53999996,1.76999998,2.37500000,3.50000000,4.14499998,2.75999999,1.29999995,1.45499992,1.12500000,1050
6532,Outdoor sport and recreational guides,65.00000000,3.03999996,4.67000008,4.19000006,2.00000000,4.63999987,2.64000010,4.36000013,4.23999977,3.58999991,4.44999981,2.55999994,3.64000010,2.43000007,1660
6533,Casino occupations,65.00000000,2.88999987,4.61999989,4.27499962,1.77499998,4.36999989,1.00500000,1.00000000,4.45499992,3.93499994,1.00000000,1.00000000,1.42499995,1.00000000,2595
