occ_4_digit,occ_4_digit_description,occ_2_digit_47,assist,contact,customer,disease,face2face,outcover,outexposed,proximity,public,vehicleclosed,vehicleopen,wearcommon,wearspecial
212,Architecture and science managers,2,2.71,4.27,3.5525,1.5225,4.7224998,1.6925,2.1424999,2.7125001,2.5675001,2.375,1.2425001,2.5650001,1.3125
213,Computer and information systems managers,2,2.7600002,4.5749998,3.2950001,1.125,4.4899998,1.2149999,1.3099999,2.8400002,2.1900001,1.4200001,1.12,1.48,1.13
311,Managers in health care,3,3.375,4.605,3.4949999,2.3649998,4.8199997,1.085,1.0799999,2.8099999,2.845,1.38,1.02,1.37,1.0799999
411,Government managers - health and social policy development and program administration,4,1.88,4.3000002,3.3699999,1.1799999,4.8499999,1.11,1.15,2.7,1.5599999,1.5,1,1.5700001,1.1799999
412,"Government managers - economic analysis, policy development and program administration",4,1.88,4.3000002,3.3699999,1.1799999,4.8499999,1.11,1.15,2.7,1.5599999,1.5,1,1.5700001,1.1799999
413,Government managers - education policy development and program administration,4,3.72,4.7366667,3.9733334,2.0899999,4.8133335,1.54,2.24,3.21,3.5866666,2.0599999,1.0433333,1.4766667,1.0033333
414,Other managers in public administration,4,3.21,4.6399999,4.4400001,1.58,4.5999999,2.4000001,2.72,3.0799999,4.04,3.52,1.5599999,2.4000001,1.72
421,Administrators - post-secondary education and vocational training,4,2.78,4.5100002,3.6400001,1.85,4.77,1.27,1.64,2.53,2.6700001,2.0799999,1.13,1.11,1.01
422,School principals and administrators of elementary and secondary education,4,4.1900001,4.8499999,4.1400003,2.21,4.835,1.675,2.54,3.5500002,4.0450001,2.05,1,1.66,1
423,"Managers in social, community and correctional services",4,4.0100002,4.6700001,4.1100001,2.02,4.8800001,1.28,1.6799999,2.6600001,3.6400001,3.28,1,1,1
431,Commissioned police officers,4,4.0799999,4.8899999,4.8000002,3.27,4.8699999,2.79,4.5,4.0700002,4.5500002,4.8000002,2.1500001,3.55,2.9200001
432,Fire chiefs and senior firefighting officers,4,4.75,4.7800002,4.3400002,3.8199999,4.6799998,3.1600001,4.5500002,4.0500002,4.6900001,4.4400001,2.9000001,4.1300001,3.8800001
511,"Library, archive, museum and art gallery managers",5,2.9400001,4.79,4.1300001,1.5599999,4.9499998,1.41,1.96,3.21,3.8499999,2.1300001,1.3099999,2.8499999,1.38
512,"Managers - publishing, motion pictures, broadcasting and performing arts",5,2.9400001,4.79,4.1300001,1.5599999,4.9499998,1.41,1.96,3.21,3.8499999,2.1300001,1.3099999,2.8499999,1.38
